team_1,team_2,tournament,h_win_diff,h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_diff_win,odd_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth,result,goal_diff
93,155,20,-2,1,-2,13,-2,-3,0.56,2.99,34,-1,-1,1,-3,-2,2.64,0.8,19,18,2,12,32,18,-4,-13,0,0
145,39,20,-1,0,4,3,3,-4,1.28,3.47,-8,1,1,0,0,-2,-0.18,-0.83,-19,-14,-19,11,-39,-2,-9,-29,1,-3
153,55,20,-2,2,-1,9,-2,1,2.75,3.54,22,-4,-4,-5,-3,-1,0.18,0.33,17,17,14,-16,42,0,-16,32,2,1
188,150,20,-5,1,-6,-12,3,1,-0.26,3.07,-56,1,7,0,5,1,-0.82,-0.1,-12,-13,-30,6,-3,0,24,15,2,3
86,146,20,-2,0,-5,-2,-1,0,4.39,3.72,33,-10,-14,-10,-9,-5,-1.27,-0.5,18,19,-7,-21,5,-40,-33,-16,0,0
167,124,20,2,0,16,3,1,2,-9.31,5.07,-31,9,10,9,8,6,0.18,1.2,-6,-10,-11,-26,-38,32,28,-16,0,0
10,143,20,0,0,-1,8,-2,1,0.55,3.36,25,-4,-9,-3,-4,2,-1.28,-0.2,-4,0,6,-34,10,-23,-18,-4,1,-2
49,65,20,-4,1,-5,-3,-2,2,2.35,2.66,5,-7,-10,-5,-6,-4,1.64,0.9,15,23,44,-11,10,21,15,-15,0,0
83,44,20,-3,1,5,8,-2,0,1.37,3.39,2,-5,-6,-4,-4,-4,0.27,0.77,-2,1,18,-2,-14,-6,18,-14,1,-1
133,7,20,-3,1,3,-6,2,-2,4.75,4.37,43,-9,-11,-6,-9,-5,-5.09,-3.3,32,31,43,19,38,-18,9,29,1,-1
119,172,20,-2,3,3,2,2,0,-0.72,3.27,-9,2,3,3,0,2,-1.0,1.36,-13,-12,-19,5,6,2,-5,5,1,-3
165,69,20,-1,0,-6,4,-1,-1,14.86,7.43,56,-13,-14,-11,-15,-5,0.27,1.23,22,15,23,37,40,-22,-17,6,2,2
156,26,20,-3,1,-1,5,0,-3,5.71,4.36,32,-8,-11,-4,-6,-4,2.27,-1.98,-1,2,17,-1,-23,-32,-17,-19,1,-2
173,43,20,0,0,16,-8,5,0,-4.22,3.3,-17,5,7,4,5,2,-3.72,-3.11,4,1,9,-21,21,3,9,21,0,0
93,145,20,-2,0,-3,2,-1,2,-0.66,3.16,53,-5,-7,0,-5,0,1.46,0.75,21,17,9,9,46,20,23,1,1,-1
155,39,20,-1,1,1,-3,2,1,2.35,3.57,11,-3,-5,-1,-2,0,-1.36,-0.88,-17,-15,-12,8,-25,0,18,-15,1,-1
57,18,20,15,5,-19,-5,-2,2,0.25,3.17,9,-2,-2,-2,-3,1,-3.09,-0.84,0,3,-5,-25,-15,-32,-11,13,1,-1
140,181,20,0,0,0,11,-1,-1,2.72,3.65,34,-4,-5,-3,-3,-2,3.73,0.2,-23,-18,-42,-4,-32,30,2,12,1,-1
